LocationType,Location,TimeFrame,DataFormat,Data
County,Cannon,2010,Number,448
County,Cannon,2010,Percent,0.56352
County,Cannon,2016,Number,368
County,Cannon,2016,Percent,0.47301
County,Cannon,2017,Number,350
County,Cannon,2017,Percent,0.42476
County,Cannon,2018,Number,351
County,Cannon,2018,Percent,0.40252
County,Cannon,2019,Number,315
County,Cannon,2019,Percent,0.36124
County,Carroll,1999,Percent,0.305
County,Carroll,2000,Percent,0.245
County,Carroll,2001,Percent,0.277
County,Carroll,2002,Percent,0.279
County,Carroll,2003,Percent,0.271
County,Carroll,2004,Percent,0.249
County,Carroll,2005,Percent,0.262
County,Carroll,2006,Percent,0.262
County,Carroll,2007,Percent,0.2478
County,Carroll,2008,Percent,0.26304
County,Carroll,1999,Number,703
County,Carroll,2000,Number,575
County,Carroll,2001,Number,583
County,Carroll,2002,Number,591
County,Carroll,2003,Number,575
County,Carroll,2004,Number,531
County,Carroll,2005,Number,560
County,Carroll,2006,Number,561
County,Carroll,2007,Number,507
County,Carroll,2008,Number,540
County,Carroll,2009,Number,561
County,Carroll,2009,Percent,0.2728
County,Carroll,2015,Number,564
County,Carroll,2015,Percent,0.34203
County,Carroll,2014,Number,567
County,Carroll,2014,Percent,0.33216
County,Carroll,2013,Number,722
County,Carroll,2013,Percent,0.42296
County,Carroll,2012,Number,733
County,Carroll,2012,Percent,0.42078
County,Carroll,2011,Number,726
County,Carroll,2011,Percent,0.43009
County,Carroll,2010,Number,752
County,Carroll,2010,Percent,0.45274
County,Carroll,2016,Number,514
County,Carroll,2016,Percent,0.32409
County,Carroll,2017,Number,467
County,Carroll,2017,Percent,0.29783
County,Carroll,2018,Number,547
County,Carroll,2018,Percent,0.34774
County,Carroll,2019,Number,495
County,Carroll,2019,Percent,0.31469
County,Carter,1999,Percent,0.318
County,Carter,2000,Percent,0.295
County,Carter,2001,Percent,0.293
County,Carter,2002,Percent,0.297
County,Carter,2003,Percent,0.296
County,Carter,2004,Percent,0.305
County,Carter,2005,Percent,0.305
County,Carter,2006,Percent,0.304
County,Carter,2007,Percent,0.31824
County,Carter,2008,Percent,0.3214
County,Carter,1999,Number,1165
County,Carter,2000,Number,1088
County,Carter,2001,Number,1118
County,Carter,2002,Number,1145
County,Carter,2003,Number,1151
County,Carter,2004,Number,1194
County,Carter,2005,Number,1206
County,Carter,2006,Number,1206
County,Carter,2007,Number,1174
County,Carter,2008,Number,1192
County,Carter,2009,Number,1288
County,Carter,2009,Percent,0.3456
County,Carter,2015,Number,1314
County,Carter,2015,Percent,0.47834
County,Carter,2014,Number,1355
County,Carter,2014,Percent,0.48307
County,Carter,2013,Number,1574
County,Carter,2013,Percent,0.54089
County,Carter,2012,Number,1645
County,Carter,2012,Percent,0.55387
County,Carter,2011,Number,1681
County,Carter,2011,Percent,0.56183
County,Carter,2010,Number,1751
County,Carter,2010,Percent,0.5758
County,Carter,2016,Number,1243
County,Carter,2016,Percent,0.47606
County,Carter,2017,Number,1139
County,Carter,2017,Percent,0.43825
County,Carter,2018,Number,1101
County,Carter,2018,Percent,0.43415
County,Carter,2019,Number,1029
County,Carter,2019,Percent,0.40576
County,Cheatham,1999,Percent,0.153
County,Cheatham,2000,Percent,0.143
County,Cheatham,2001,Percent,0.151
County,Cheatham,2002,Percent,0.165
County,Cheatham,2003,Percent,0.166
County,Cheatham,2004,Percent,0.184
County,Cheatham,2005,Percent,0.181
County,Cheatham,2006,Percent,0.179
County,Cheatham,2007,Percent,0.18089
County,Cheatham,2008,Percent,0.1829
County,Cheatham,1999,Number,500
County,Cheatham,2000,Number,472
County,Cheatham,2001,Number,478
County,Cheatham,2002,Number,527
County,Cheatham,2003,Number,537
County,Cheatham,2004,Number,603
County,Cheatham,2005,Number,602
County,Cheatham,2006,Number,603
County,Cheatham,2007,Number,549
County,Cheatham,2008,Number,562
County,Cheatham,2009,Number,624
County,Cheatham,2009,Percent,0.2011
