LocationType,Location,TimeFrame,DataFormat,Data
County,Cheatham,2008,Number,1684
County,Cheatham,2009,Number,2171
County,Cheatham,2010,Number,2654
County,Cheatham,2010,Percent,0.27215
County,Cheatham,2011,Number,2715.66667
County,Cheatham,2011,Percent,0.2861
County,Cheatham,2012,Number,2776.16667
County,Cheatham,2012,Percent,0.29443
County,Cheatham,2013,Number,2741.41667
County,Cheatham,2013,Percent,0.2956
County,Cheatham,2014,Number,2651.16667
County,Cheatham,2014,Percent,0.28686
County,Cheatham,2015,Number,2465.08333
County,Cheatham,2015,Percent,0.27439
County,Cheatham,2016,Number,2243.25
County,Cheatham,2016,Percent,0.24969
County,Cheatham,2017,Number,2130.08333
County,Cheatham,2017,Percent,0.23631
County,Cheatham,2018,Number,1831.08333
County,Cheatham,2018,Percent,0.20641
County,Cheatham,2019,Number,1745
County,Cheatham,2019,Percent,0.19938
County,Chester,1999,Percent,0.133
County,Chester,2000,Percent,0.15
County,Chester,2001,Percent,0.146
County,Chester,2002,Percent,0.161
County,Chester,2003,Percent,0.199
County,Chester,2004,Percent,0.235
County,Chester,2005,Percent,0.242
County,Chester,2006,Percent,0.251
County,Chester,2007,Percent,0.27027
County,Chester,2008,Percent,0.319
County,Chester,2009,Percent,0.36646
County,Chester,1999,Number,479
County,Chester,2000,Number,547
County,Chester,2001,Number,549
County,Chester,2002,Number,629
County,Chester,2003,Number,794
County,Chester,2004,Number,959
County,Chester,2005,Number,1008
County,Chester,2006,Number,1059
County,Chester,2007,Number,1077
County,Chester,2008,Number,1186
County,Chester,2009,Number,1380
County,Chester,2010,Number,1486
County,Chester,2010,Percent,0.37245
County,Chester,2011,Number,1476.25
County,Chester,2011,Percent,0.36147
County,Chester,2012,Number,1480.25
County,Chester,2012,Percent,0.37034
County,Chester,2013,Number,1412.91667
County,Chester,2013,Percent,0.35288
County,Chester,2014,Number,1412
County,Chester,2014,Percent,0.35415
County,Chester,2015,Number,1316.91667
County,Chester,2015,Percent,0.33014
County,Chester,2016,Number,1289.75
County,Chester,2016,Percent,0.32333
County,Chester,2017,Number,1318.5
County,Chester,2017,Percent,0.33533
County,Chester,2018,Number,1111.83333
County,Chester,2018,Percent,0.28048
County,Chester,2019,Number,1123
County,Chester,2019,Percent,0.28626
County,Claiborne,1999,Percent,0.275
County,Claiborne,2000,Percent,0.283
County,Claiborne,2001,Percent,0.294
County,Claiborne,2002,Percent,0.31
County,Claiborne,2003,Percent,0.348
County,Claiborne,2004,Percent,0.376
County,Claiborne,2005,Percent,0.374
County,Claiborne,2006,Percent,0.373
County,Claiborne,2007,Percent,0.35207
County,Claiborne,2008,Percent,0.378
County,Claiborne,2009,Percent,0.40207
County,Claiborne,1999,Number,1967
County,Claiborne,2000,Number,2030
County,Claiborne,2001,Number,2071
County,Claiborne,2002,Number,2172
County,Claiborne,2003,Number,2435
County,Claiborne,2004,Number,2635
County,Claiborne,2005,Number,2622
County,Claiborne,2006,Number,2604
County,Claiborne,2007,Number,2593
County,Claiborne,2008,Number,2612
County,Claiborne,2009,Number,2765
County,Claiborne,2010,Number,2928
County,Claiborne,2010,Percent,0.4322
County,Claiborne,2011,Number,2918.58333
County,Claiborne,2011,Percent,0.44147
County,Claiborne,2012,Number,2911.41667
County,Claiborne,2012,Percent,0.45082
County,Claiborne,2013,Number,2824.58333
County,Claiborne,2013,Percent,0.45602
County,Claiborne,2014,Number,2765.66667
County,Claiborne,2014,Percent,0.44486
County,Claiborne,2015,Number,2545.83333
County,Claiborne,2015,Percent,0.40956
County,Claiborne,2016,Number,2403.5
County,Claiborne,2016,Percent,0.38666
County,Claiborne,2017,Number,2859.08333
County,Claiborne,2017,Percent,0.47312
County,Claiborne,2018,Number,2137.33333
County,Claiborne,2018,Percent,0.35194
County,Claiborne,2019,Number,2112
County,Claiborne,2019,Percent,0.346
County,Clay,1999,Percent,0.221
County,Clay,2000,Percent,0.211
County,Clay,2001,Percent,0.2
County,Clay,2002,Percent,0.239
County,Clay,2003,Percent,0.286
County,Clay,2004,Percent,0.303
County,Clay,2005,Percent,0.305
County,Clay,2006,Percent,0.359
County,Clay,2007,Percent,0.32653
County,Clay,2008,Percent,0.334
County,Clay,2009,Percent,0.37547
County,Clay,1999,Number,360
County,Clay,2000,Number,343
County,Clay,2001,Number,342
County,Clay,2002,Number,407
County,Clay,2003,Number,487
County,Clay,2004,Number,515
County,Clay,2005,Number,519
County,Clay,2006,Number,609
County,Clay,2007,Number,588
County,Clay,2008,Number,565
County,Clay,2009,Number,635
County,Clay,2010,Number,745
County,Clay,2010,Percent,0.45379
County,Clay,2011,Number,714.33333
County,Clay,2011,Percent,0.44369
County,Clay,2012,Number,704.5
County,Clay,2012,Percent,0.44364
County,Clay,2013,Number,709.33333
County,Clay,2013,Percent,0.45823
County,Clay,2014,Number,649.75
County,Clay,2014,Percent,0.41571
County,Clay,2015,Number,618.41667
County,Clay,2015,Percent,0.40793
County,Clay,2016,Number,620.08333
